booking_id,passenger_key_hash,flight_id,booking_date,status,seat_number,status_valid_flag
B1000,977c3154ed97450c76e731cfa64c1b4071ddd7001d11e16f6425026abd815d64,AI192,2025-06-14 11:37:36.951,CANCELLED,3D,True
B1001,604c9afd067fac61e2daa8a506a2030f2d8c48a0c123a8b1750c198b0cf829c3,6F026,2025-11-02 11:37:36.951,CANCELLED,18A,True
B1002,906ea2a505d51fd41a2b2f02d9dfc962d3831101cd8232792ccfed55ec6303da,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,True
B1003,253e3decf26bba87ebad66473c9ad56664e004ace4b3cf396b23d9b89fb2d722,AI069,2025-12-30 11:37:36.951,CONFIRMED,33A,True
B1004,f4133d1257c4df22d1f3160f167fa0b82a2d16ffc2fa6076b0dd622aa9284cbf,UK003,2025-10-02 11:37:36.951,PENDING,25C,True
B1005,ccaeb9c55d66d7925b9b4b257d89a2f3e2fcc223df68dd4a43a8b85509590cf3,AI048,2025-08-31 11:37:36.951,CONFIRMED,13D,True
B1006,a4df934159e17c6f77ef8d393588441f9c9abcf50194d863ddfde514c1ba87be,AI140,2025-06-29 11:37:36.951,CANCELLED,17F,True
B1007,2fbfa19e0834526a73f088118e54ac518f7fdbe8b02a8d6e2fbbac494cf0e908,UK167,2026-03-12 11:37:36.951,CONFIRMED,22E,True
B1008,fe8378226aea284fc0bde70c404202521495e2831d1809e19eed560393f944f3,AI245,2025-09-07 11:37:36.951,PENDING,34F,True
B1009,671275e88f80ab6612b251a834bc7c2c958d795dd8d53e18ca9e1e16136f7771,SJ158,2025-04-28 11:37:36.951,CANCELLED,33C,True
B1010,4b6c0c8b02b248b3832fafda3719d14a7c12256e352e612069e6a9d139c72f0d,AI155,2025-11-24 11:37:36.951,CONFIRMED,15B,True
B1011,6f2e7545bf6891bce54a08268e1cd0f112e247db566b7e31baf6851c5c4738c6,AI179,2025-10-25 11:37:36.951,CONFIRMED,22C,True
B1012,c7d426d2210ced26b6729b9feacd755a815a5fdb9ef6ff68620fbe61f34c9dd9,AI137,2025-08-15 11:37:36.951,PENDING,28B,True
B1013,cef0e879f29d08edf4d347ea410c96d240548f74a599ba7f77bad47fb561d753,SJ001,2025-07-20 11:37:36.951,CONFIRMED,26E,True
B1014,493f03c091f1bb5b6181ee7ab114c66faeda7d62a9ca480f33d547d492e5b590,SJ172,2025-09-15 11:37:36.951,PENDING,21E,True
B1015,4ff00403397e83e71b7bac58d46092c1f4c0558542749ae813ddab899eacdeb3,UK094,2025-10-21 11:37:36.951,,6F,False
B1016,fb80277747aac668145bc47a70b7ee1c7a652955c60fd434859603bc2bb0f212,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,True
B1017,2a70a1e3d06827e26ea66f3dd26bdf35011631c2ff7ec0f502e86ac82152fcd0,UK067,2026-04-04 11:37:36.951,CONFIRMED,13B,True
B1018,b096a49f0236663227b9349e270cc5f2ad32d485d93865e0d4cb2488c769f768,6F196,2026-03-25 11:37:36.951,CANCELLED,19B,True
B1019,051179b157321a62ad4c619eb42654918b3783c788cfba6aa7fd34b1c715c5f7,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,True
B1020,bf52b129e3eaf405810ca84e9b5879fbe3dfd274912e85dd7d400b405aa7b6c2,SJ112,2025-12-06 11:37:36.951,CONFIRMED,27B,True
B1021,39d17754fbe940620f6b6afe39299cd09366b97c2b5a0806dcc0fc0318a63051,6F190,2025-12-07 11:37:36.951,CANCELLED,4E,True
B1022,08cb2d3a1162156fae3f8de8547a4392bc4947f04eba00d88607c9bff433f76a,AI080,2026-03-25 11:37:36.951,CONFIRMED,16F,True
B1023,7fb7ffdbd85a3ce3777e234c2a13df6ecd93b7417cd5370936f89514d8f28124,6F213,2026-02-03 11:37:36.951,PENDING,24B,True
B1024,4cdb726a24e120816f3083c011a185a0d34c978247e769e24001a6b122005f24,AI115,2025-06-21 11:37:36.951,PENDING,30F,True
B1025,a500ae03c00baf216d49ec56cceecd33fca80f959f3217c46b44c80a7b84762c,SJ049,2026-03-18 11:37:36.951,PENDING,1B,True
B1026,e60442d25bc5f693c6cfc0937063c635de3a5baf3a0221977d97fdfdb824e54b,AI058,2025-06-27 11:37:36.951,CONFIRMED,32C,True
B1027,a4f6ec112797c51296942e96182279f4a30a0c4c2fae4901468b25a8a8ccac41,UK036,2025-07-25 11:37:36.951,CONFIRMED,22A,True
B1028,f0316f28ef6214df53c678ecde337e63f431b074b6cbf48b8fc4df3a0b16bef7,SJ239,2025-05-25 11:37:36.951,CANCELLED,26E,True
B1029,7f7a4a05ac7584dc445b403e3f3476be43426f7f0889117eb963af5f8bb1d4c5,6F025,2025-06-06 11:37:36.951,CANCELLED,19C,True
B1030,f6b417a876311203b71363b2de9b23777e0a1dae3d73d787849b48272abc719d,6F236,2026-03-18 11:37:36.951,CANCELLED,21E,True
B1031,7f8a4f8fcffd556d60cdd9cb6d9881c5f0952f211e879052948e285011a4da4c,AI060,2025-11-16 11:37:36.951,CANCELLED,1E,True
B1032,7eaf1e6c1630f0c8a2856d98642aa558e04431b37f75a59a998747e5f9e8496c,UK021,2025-09-03 11:37:36.951,CANCELLED,18E,True
B1033,afbd94f1848fd41087cc5acb8d09e72c4f5b0aad55a614d2754a32417907ca51,UK026,2025-05-06 11:37:36.951,,19A,False
B1034,f578969533b3f6b3dab72ec2fdc7d0592f61427e461cec167f4c481805ab303e,SJ179,2025-12-31 11:37:36.951,CONFIRMED,22F,True
B1035,b53cd664d3caa7d3461db14d746ee0bac972b79bc4dafeabb23ab761cbc4dccb,6F251,2025-08-21 11:37:36.951,PENDING,11D,True
B1036,b65304c929ac9ac90b919fca5846a082845092de07e4a41e87a5f1f26d69276c,SJ149,2025-11-24 11:37:36.951,PENDING,5B,True
B1037,9eabf0d062f2e17b6c93dfb21197af90d5f6f152aa5aa7f9fb548382ef5da74f,AI188,2026-03-20 11:37:36.951,PENDING,33E,True
B1038,37b790ac45eacb4d66f50b7c5f6adfbbd850f1ef459633d46e1335583be1bff6,SJ093,2026-01-01 11:37:36.951,PENDING,12D,True
B1039,d78d33086a6ac7092ce5210ee0bc93c09febeb9745177ccab0a40151aeb89c3b,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,True
B1040,9520ad3d7a70d319e14e25c5b52c6b6257fe2f5dd6bb98d388da154d09afb415,6F099,2025-08-08 11:37:36.951,CONFIRMED,26B,True
B1041,ce0196be80de68aa6f4cff9ed81521ba378f6c2d294fc7981e9d8189d65e5b4c,UK176,2025-05-28 11:37:36.951,CONFIRMED,25C,True
B1042,841d6ff4bf515c14ff1194d854071d819eefe7528f5a4bee5df999ccd6cb44e6,UK200,2025-12-02 11:37:36.951,CANCELLED,24F,True
B1043,62b0b9ce01d516bf00b0225b65d7ddfab72fde5e2502e45ef408410c282ff651,6F195,2025-11-22 11:37:36.951,CANCELLED,8E,True
B1044,a5d7ccdbaa33ef6ad8ff6cdca600e6bb1ab3186089c6286d1695f87fd374721f,6F174,2026-04-12 11:37:36.951,PENDING,16C,True
B1045,c24146553498b11133c73b471f128c4034fbbc101da3d55d16b786b97abc6fc3,SJ214,2026-03-19 11:37:36.951,,18C,False
B1046,a1807f6186c536cb15f0948b636e884457174bd4c2692684959ad17b212b2efd,UK059,2025-10-14 11:37:36.951,CONFIRMED,2C,True
B1047,1047b7c4faa338bb338b8d60b66d9ae0e7d14f1ec9f747437882f4f724a283ff,6F151,2025-12-29 11:37:36.951,PENDING,7C,True
B1048,fef3551179d3071c36364f32685122bf5ea6d3a401fcc5707960d1986ef03b46,SJ236,2025-09-19 11:37:36.951,PENDING,18C,True
B1049,08cb2d3a1162156fae3f8de8547a4392bc4947f04eba00d88607c9bff433f76a,SJ153,2025-07-28 11:37:36.951,INVALID,3C,False
B1050,256c5e44719e844bb763f553a8626e4a668b28e4f71e8f1944f4c2ff6d097c34,AI220,2026-01-15 11:37:36.951,PENDING,7D,True
B1051,932990ec1a7797587578bdc8611fb94c98f194f57adeb99310c649a427a396c1,6F028,2025-07-05 11:37:36.951,CANCELLED,16A,True
B1052,9c8b72e9309f1ca4a801e836ae3ee548e4fab5ba18437be41dbac15e14aa7c97,UK209,2025-12-30 11:37:36.951,CANCELLED,33B,True
B1053,b6699f1f75b07aaa96b7f6f1ef1d6d58c2b00d2f311d23df9be2942ca0335ae7,UK216,2026-04-01 11:37:36.951,PENDING,28B,True
B1054,115f110efe2c65297179f84ceb6a5154ba53e08f2d9b5659b5417adaea4e61eb,AI132,2026-04-11 11:37:36.951,CANCELLED,19C,True
B1055,ab9f8c049da1799973249de41a2e0981bce29c28386eb04f7746466cb4b8c085,6F012,2025-10-14 11:37:36.951,CANCELLED,13F,True
B1056,3fd6c6a6cc99badcd994e57f26eb48e6a13687640d02d155eaed0cece624ed0e,UK173,2026-03-24 11:37:36.951,CANCELLED,15B,True
B1057,0c2667ac3ad287d572e2898ace23dff926bf2ae1f6c450ede0c679b75f2572b9,SJ047,2025-08-20 11:37:36.951,CANCELLED,14F,True
B1058,2e77403b154c0332d8319f95bb2066431dbfe4a497fedd7c54a96c2a45720147,SJ043,2025-12-07 11:37:36.951,PENDING,8C,True
B1059,350e0f62c4ee94195e1183d75e282cfded48d109a4bbdd7d0142aa704d43a3c2,UK140,2026-01-03 11:37:36.951,CONFIRMED,23B,True
B1060,65a2662c1c42b2211936fff433a5270c57aa2d66ebcaa8a672b3d6f51cf31cfe,6F086,2025-12-30 11:37:36.951,CONFIRMED,11A,True
B1061,eb2dfae377ce8e908f0e80b3afbdc98f2ed93b2f5a500c636a2d717fb642eb90,6F114,2026-04-05 11:37:36.951,CANCELLED,19C,True
B1062,b17edebc21cc08a65ee5e9d2351ba6516801c1d9148f4704db88bdc77da0c865,UK153,2025-06-12 11:37:36.951,CANCELLED,15D,True
B1063,2b4f9a36a08983a014ca1b0c4623c8bd01849514b4efa8ec0bfb8c38c7d44e76,6F149,2025-05-19 11:37:36.951,CANCELLED,9A,True
B1064,9fca29bf66969aa3fdb96b272c6b766185937f5a27ffffdc97de71a222add84d,UK145,2025-09-14 11:37:36.951,CONFIRMED,24E,True
B1065,8537c2efa30e935deb54fe09333c46fc8c4a8e94c6a0d5071c78a160d734748f,UK010,2026-03-06 11:37:36.951,CANCELLED,7B,True
B1066,d97e64736317043581b903f37a496bddf921efd523efa3aa987e94c58f48e977,SJ003,2025-11-05 11:37:36.951,PENDING,1B,True
B1067,f1e921ffaf861ea372dd545d469e4e291357c01134a401015942fe6a92883e31,SJ160,2025-07-23 11:37:36.951,PENDING,7F,True
B1068,b3b2bddc4a1da01906c583ec44330f267849113c6afe3d26e04eafb43be7bbba,UK224,2025-11-22 11:37:36.951,PENDING,23A,True
B1069,2fa8ad9bc1180c9e7016de60dbd6a76bd214ce8b72b8ae6637e164c4dfeba8e0,UK152,2025-08-02 11:37:36.951,CONFIRMED,16E,True
B1070,b6699f1f75b07aaa96b7f6f1ef1d6d58c2b00d2f311d23df9be2942ca0335ae7,SJ034,2025-09-22 11:37:36.951,CANCELLED,15D,True
B1071,61d0f276b7160f04f92ce7d852f04296612a23d85e104124985a1e3f1afb6a25,UK215,2025-12-21 11:37:36.951,CANCELLED,15F,True
B1072,383b01dfc4b4451a547935fff6c78f551e330aa833ad796209db30958a18a15d,UK089,2025-08-10 11:37:36.951,CANCELLED,18F,True
B1073,9585827735f88792e9359787c8c5048f41e5c39fad2e3f57fc925ebfe01459fc,6F180,2025-12-04 11:37:36.951,CONFIRMED,16A,True
B1074,097d1730f877c5e910f5789d79ccbbb12c982460d0c24d0f57881d9f3578c3cd,6F188,2025-09-25 11:37:36.951,CONFIRMED,7A,True
B1075,68817845c7bde67edec29d198d21c1460e32dcbede85fd085f7ba7a632b75af2,UK131,2026-01-03 11:37:36.951,CONFIRMED,2F,True
B1076,63ac4a24e48cfe89f1218e7981373d1f1de2eac52e71435d035341619ce8ab8d,UK055,2025-05-04 11:37:36.951,CONFIRMED,12B,True
B1077,7ff5d504e0d5d5b53c0f96fe7923488af6e78f4e42b77a8240c3ceb9a75aad00,UK181,2025-05-03 11:37:36.951,PENDING,3A,True
B1078,b48fae1fbcbcd5a9cf70bb89421239b93e240237c143c30daa9193cfa9486d26,6F077,2025-09-21 11:37:36.951,CONFIRMED,1B,True
B1079,df5b29f2ff7bba8607f3a0e88336de8a46fdaface5e5b3177310f9a192d55512,SJ085,2025-06-03 11:37:36.951,CONFIRMED,10D,True
B1080,8debcd3aea9b924582f8e7731f6da70c6bc861464f1273b06eb3bf0c8e627e97,SJ023,2025-06-05 11:37:36.951,CONFIRMED,22D,True
B1081,d645a3f176a42988183d2200a102f0dd10c25011d7269c08a05d7313fb10003d,SJ202,2025-11-13 11:37:36.951,CANCELLED,29C,True
B1082,d7828af53487e3e70a2326cfe122d3c6ccb1ec727038aeda38c7093ad8a9cb91,SJ150,2025-09-09 11:37:36.951,CANCELLED,30A,True
B1083,2a07d49e429c2a72609ac309847b8ad89662fe1042b4aad685e80acd098888f2,SJ116,2025-05-12 11:37:36.951,CANCELLED,9A,True
B1084,d27c1e98bd8f296f816b5428e2c9730dbf01a9c74b665c79ea5c8f9eb9b85e8d,6F270,2025-06-14 11:37:36.951,PENDING,16E,True
B1085,f82a60e2bbf27d94e8721e47f2b4b031cfbd46b5601b4b93cbc8e7ce409d28ec,UK150,2026-03-24 11:37:36.951,PENDING,12A,True
B1086,66ff10bdebab942a3691e4b67ccf38b283d06a7e95740612404d27f022adc272,SJ237,2026-02-16 11:37:36.951,CONFIRMED,5D,True
B1087,88b590eeb171062401b7dc6f8c9cf7a208bfdfe4114377d292879157d2a2a690,AI221,2025-05-08 11:37:36.951,CANCELLED,2F,True
B1088,faaaa19b96962364ee624e5faf3049b82315b7e912f8b99b73232fe479505cd1,SJ081,2026-03-25 11:37:36.951,PENDING,31A,True
B1089,3a1ef3bd6458cdd86d219afc3397bce9c7b12d5dcf92fdbba3fa61a29c57af42,UK189,2025-09-03 11:37:36.951,CANCELLED,25F,True
B1090,0f1a22c91d0f0def2cbb84dc522ed90ddfad6898003d78b0e5d4ee1c7c8ac1b6,SJ068,2025-05-16 11:37:36.951,PENDING,31C,True
B1091,a58c687e9ba1fd6992e0c8487ce8a80ec79ef86339a3fbef968c0fc235aa9dd3,6F043,2025-08-18 11:37:36.951,PENDING,25D,True
B1092,d0cc71254d0d0f29502c4dae62dacdd6712a8b1a3d7c76cd815c0b67e7cb65c3,UK187,2026-03-18 11:37:36.951,CONFIRMED,16D,True
B1093,a5a552c1a898df14931a32a03de945a5846a4ebb3638c149f05dbd20f97313f4,UK074,2025-05-11 11:37:36.951,CONFIRMED,25E,True
B1094,2d8aa20384aacb9b04827e3c5ebead3d12aecba76827f609ebb69a373619ee49,UK004,2026-01-07 11:37:36.951,PENDING,24C,True
B1095,e60442d25bc5f693c6cfc0937063c635de3a5baf3a0221977d97fdfdb824e54b,6F194,2025-07-30 11:37:36.951,CONFIRMED,14B,True
B1096,0fc6a280223ac3cfbf175e020aaead49d72588677e24b45170c9a9048aa64035,UK068,2026-01-03 11:37:36.951,PENDING,12B,True
B1097,ae0406e331f05b6c3cc1862b5e628541a2ba43f543dafe5dcc31a1ea710368e4,6F017,2025-08-26 11:37:36.951,,34F,False
B1098,b0319151afd041aba0c645d06c0f8abea9d2711de08340c91f4602b325080fec,6F245,2025-10-15 11:37:36.951,,13D,False
B1099,a2e1a6df1b20d75758869362fdcd51f72b40da14a5f7f80910562c4e736e9993,6F254,2025-12-07 11:37:36.951,CONFIRMED,26E,True
B1100,ddabb59a9826ea31b1ce182b4b327e1e5be2fcb5627388dbe0084a381530843a,UK077,2026-03-05 11:37:36.951,CONFIRMED,16D,True
B1101,c754e805cc58c13693de3d6bbaf4ca473b79a20bc39a95d391a14ba226b28c30,AI029,2025-07-19 11:37:36.951,CONFIRMED,3D,True
B1102,8dc928bdd6a7a7903365d77c2b04a4497020886d70a70ea3f8a4d2574e755aee,SJ196,2025-10-06 11:37:36.951,INVALID,15F,False
B1103,7ff5d504e0d5d5b53c0f96fe7923488af6e78f4e42b77a8240c3ceb9a75aad00,AI242,2025-08-08 11:37:36.951,CANCELLED,20D,True
B1104,4cdb726a24e120816f3083c011a185a0d34c978247e769e24001a6b122005f24,AI242,2025-09-12 11:37:36.951,CANCELLED,16E,True
B1105,4941ef25075264b2f3ebe92301dd939fdac2784b71e89a0e36e62efe253e8fae,SJ044,2025-09-11 11:37:36.951,CONFIRMED,19F,True
B1106,593ce4cd123b30ba32fad0c71fb333efde01434bb05f23ed38d0fc53ecb5ddaf,UK063,2025-09-01 11:37:36.951,CONFIRMED,21F,True
B1107,7ff5d504e0d5d5b53c0f96fe7923488af6e78f4e42b77a8240c3ceb9a75aad00,AI056,2025-05-19 11:37:36.951,CONFIRMED,30F,True
B1108,15258cca169e4b6fac5a723b1441d132e8627640980bf983d4302cc0334534b1,UK207,2025-10-11 11:37:36.951,CANCELLED,14B,True
B1109,5878c05908f7ccf9727182c3c14470e84de2a2d890aa6a301ecb7dbde8b34ef3,UK166,2025-12-03 11:37:36.951,CANCELLED,33D,True
B1110,661416e3639271e2df11ef3e62d640bc2f517a6a07132f85f15c230a7a3d9cff,6F261,2025-12-17 11:37:36.951,PENDING,12B,True
