route,flight_count,average_duration_minutes,overnight_flight_count,booking_count
BLR → BOM,46,155.56554130434782,4,44.0
BLR → CCU,17,116.23529411764706,4,15.0
BLR → DEL,15,168.73333333333332,0,10.0
BLR → HYD,15,152.26666666666668,3,15.0
BLR → MAA,11,189.45454545454547,0,11.0
BOM → BLR,17,157.05940784313725,1,16.0
BOM → CCU,71,165.97197089201876,12,66.0
BOM → DEL,29,148.7587908045977,3,26.0
BOM → HYD,21,187.61904761904762,3,20.0
BOM → MAA,20,188.85,6,18.0
CCU → BLR,13,154.23076923076923,3,12.0
CCU → BOM,25,168.800396,1,22.0
CCU → DEL,58,157.89663764367816,10,54.0
CCU → HYD,14,164.5,1,13.0
CCU → MAA,19,174.36868157894736,2,16.0
DEL → BLR,19,180.63184035087718,2,17.0
DEL → BOM,22,165.72727272727272,4,22.0
DEL → CCU,21,144.0,2,19.0
DEL → HYD,37,179.43243243243242,3,33.0
DEL → MAA,18,179.61111111111111,3,15.0
HYD → BLR,22,145.36386212121212,2,19.0
HYD → BOM,18,149.11111111111111,2,15.0
HYD → CCU,23,159.3913043478261,2,21.0
HYD → DEL,29,191.6210316091954,7,28.0
HYD → MAA,36,142.13916481481482,2,35.0
MAA → BLR,45,173.5556662962963,4,41.0
MAA → BOM,14,183.35714285714286,4,11.0
MAA → CCU,17,152.41176470588235,1,15.0
MAA → DEL,18,168.88916574074074,2,17.0
MAA → HYD,17,168.76470588235293,0,13.0
