source,destination,route
CCU,MAA,CCU → MAA
BOM,CCU,BOM → CCU
MAA,BOM,MAA → BOM
DEL,HYD,DEL → HYD
BOM,HYD,BOM → HYD
BOM,DEL,BOM → DEL
DEL,MAA,DEL → MAA
DEL,BOM,DEL → BOM
CCU,DEL,CCU → DEL
HYD,DEL,HYD → DEL
HYD,MAA,HYD → MAA
HYD,CCU,HYD → CCU
BLR,BOM,BLR → BOM
BOM,MAA,BOM → MAA
HYD,BOM,HYD → BOM
DEL,CCU,DEL → CCU
CCU,HYD,CCU → HYD
MAA,CCU,MAA → CCU
CCU,BLR,CCU → BLR
MAA,BLR,MAA → BLR
MAA,DEL,MAA → DEL
HYD,BLR,HYD → BLR
MAA,HYD,MAA → HYD
BOM,BLR,BOM → BLR
BLR,CCU,BLR → CCU
BLR,MAA,BLR → MAA
CCU,BOM,CCU → BOM
BLR,HYD,BLR → HYD
DEL,BLR,DEL → BLR
BLR,DEL,BLR → DEL
