booking_id,flight_id,booking_date,status,status_valid_flag
B1000,AI192,2025-06-14 11:37:36.951,CANCELLED,True
B1002,SJ010,2025-08-25 11:37:36.951,CANCELLED,True
B1003,AI069,2025-12-30 11:37:36.951,CONFIRMED,True
B1004,UK003,2025-10-02 11:37:36.951,PENDING,True
B1005,AI048,2025-08-31 11:37:36.951,CONFIRMED,True
B1006,AI140,2025-06-29 11:37:36.951,CANCELLED,True
B1007,UK167,2026-03-12 11:37:36.951,CONFIRMED,True
B1008,AI245,2025-09-07 11:37:36.951,PENDING,True
B1009,SJ158,2025-04-28 11:37:36.951,CANCELLED,True
B1010,AI155,2025-11-24 11:37:36.951,CONFIRMED,True
B1011,AI179,2025-10-25 11:37:36.951,CONFIRMED,True
B1012,AI137,2025-08-15 11:37:36.951,PENDING,True
B1013,SJ001,2025-07-20 11:37:36.951,CONFIRMED,True
B1014,SJ172,2025-09-15 11:37:36.951,PENDING,True
B1016,UK027,2026-01-13 11:37:36.951,CANCELLED,True
B1017,UK067,2026-04-04 11:37:36.951,CONFIRMED,True
B1020,SJ112,2025-12-06 11:37:36.951,CONFIRMED,True
B1022,AI080,2026-03-25 11:37:36.951,CONFIRMED,True
B1024,AI115,2025-06-21 11:37:36.951,PENDING,True
B1025,SJ049,2026-03-18 11:37:36.951,PENDING,True
B1026,AI058,2025-06-27 11:37:36.951,CONFIRMED,True
B1027,UK036,2025-07-25 11:37:36.951,CONFIRMED,True
B1028,SJ239,2025-05-25 11:37:36.951,CANCELLED,True
B1031,AI060,2025-11-16 11:37:36.951,CANCELLED,True
B1032,UK021,2025-09-03 11:37:36.951,CANCELLED,True
B1034,SJ179,2025-12-31 11:37:36.951,CONFIRMED,True
B1036,SJ149,2025-11-24 11:37:36.951,PENDING,True
B1037,AI188,2026-03-20 11:37:36.951,PENDING,True
B1038,SJ093,2026-01-01 11:37:36.951,PENDING,True
B1039,SJ205,2025-08-21 11:37:36.951,CONFIRMED,True
B1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,True
B1042,UK200,2025-12-02 11:37:36.951,CANCELLED,True
B1046,UK059,2025-10-14 11:37:36.951,CONFIRMED,True
B1048,SJ236,2025-09-19 11:37:36.951,PENDING,True
B1050,AI220,2026-01-15 11:37:36.951,PENDING,True
B1052,UK209,2025-12-30 11:37:36.951,CANCELLED,True
B1053,UK216,2026-04-01 11:37:36.951,PENDING,True
B1054,AI132,2026-04-11 11:37:36.951,CANCELLED,True
B1056,UK173,2026-03-24 11:37:36.951,CANCELLED,True
B1057,SJ047,2025-08-20 11:37:36.951,CANCELLED,True
B1058,SJ043,2025-12-07 11:37:36.951,PENDING,True
B1059,UK140,2026-01-03 11:37:36.951,CONFIRMED,True
B1062,UK153,2025-06-12 11:37:36.951,CANCELLED,True
B1064,UK145,2025-09-14 11:37:36.951,CONFIRMED,True
B1065,UK010,2026-03-06 11:37:36.951,CANCELLED,True
B1066,SJ003,2025-11-05 11:37:36.951,PENDING,True
B1067,SJ160,2025-07-23 11:37:36.951,PENDING,True
B1068,UK224,2025-11-22 11:37:36.951,PENDING,True
B1069,UK152,2025-08-02 11:37:36.951,CONFIRMED,True
B1070,SJ034,2025-09-22 11:37:36.951,CANCELLED,True
B1071,UK215,2025-12-21 11:37:36.951,CANCELLED,True
B1072,UK089,2025-08-10 11:37:36.951,CANCELLED,True
B1075,UK131,2026-01-03 11:37:36.951,CONFIRMED,True
B1076,UK055,2025-05-04 11:37:36.951,CONFIRMED,True
B1077,UK181,2025-05-03 11:37:36.951,PENDING,True
B1079,SJ085,2025-06-03 11:37:36.951,CONFIRMED,True
B1080,SJ023,2025-06-05 11:37:36.951,CONFIRMED,True
B1081,SJ202,2025-11-13 11:37:36.951,CANCELLED,True
B1082,SJ150,2025-09-09 11:37:36.951,CANCELLED,True
B1083,SJ116,2025-05-12 11:37:36.951,CANCELLED,True
B1085,UK150,2026-03-24 11:37:36.951,PENDING,True
B1086,SJ237,2026-02-16 11:37:36.951,CONFIRMED,True
B1087,AI221,2025-05-08 11:37:36.951,CANCELLED,True
B1088,SJ081,2026-03-25 11:37:36.951,PENDING,True
B1089,UK189,2025-09-03 11:37:36.951,CANCELLED,True
B1090,SJ068,2025-05-16 11:37:36.951,PENDING,True
B1092,UK187,2026-03-18 11:37:36.951,CONFIRMED,True
B1093,UK074,2025-05-11 11:37:36.951,CONFIRMED,True
B1094,UK004,2026-01-07 11:37:36.951,PENDING,True
B1096,UK068,2026-01-03 11:37:36.951,PENDING,True
B1100,UK077,2026-03-05 11:37:36.951,CONFIRMED,True
B1101,AI029,2025-07-19 11:37:36.951,CONFIRMED,True
B1103,AI242,2025-08-08 11:37:36.951,CANCELLED,True
B1104,AI242,2025-09-12 11:37:36.951,CANCELLED,True
B1105,SJ044,2025-09-11 11:37:36.951,CONFIRMED,True
B1106,UK063,2025-09-01 11:37:36.951,CONFIRMED,True
B1107,AI056,2025-05-19 11:37:36.951,CONFIRMED,True
B1108,UK207,2025-10-11 11:37:36.951,CANCELLED,True
B1109,UK166,2025-12-03 11:37:36.951,CANCELLED,True
B1111,UK134,2025-12-25 11:37:36.951,CANCELLED,True
B1113,SJ089,2025-11-23 11:37:36.951,CONFIRMED,True
B1115,AI025,2025-08-23 11:37:36.951,CONFIRMED,True
B1117,SJ222,2025-09-02 11:37:36.951,CONFIRMED,True
B1118,UK109,2026-04-03 11:37:36.951,CONFIRMED,True
B1119,SJ117,2025-11-25 11:37:36.951,CANCELLED,True
B1120,SJ142,2025-08-12 11:37:36.951,CONFIRMED,True
B1121,SJ142,2025-06-01 11:37:36.951,PENDING,True
B1122,AI030,2025-05-02 11:37:36.951,CANCELLED,True
B1126,AI072,2025-10-20 11:37:36.951,CONFIRMED,True
B1127,SJ154,2025-06-29 11:37:36.951,PENDING,True
B1128,AI031,2026-04-08 11:37:36.951,CONFIRMED,True
B1129,AI031,2025-09-18 11:37:36.951,PENDING,True
B1132,UK141,2025-06-20 11:37:36.951,CONFIRMED,True
B1136,UK156,2025-10-26 11:37:36.951,PENDING,True
B1137,AI094,2025-09-01 11:37:36.951,PENDING,True
B1138,AI038,2025-07-14 11:37:36.951,PENDING,True
B1140,SJ025,2026-01-23 11:37:36.951,CONFIRMED,True
B1141,SJ185,2025-10-28 11:37:36.951,CONFIRMED,True
B1144,AI091,2025-09-26 11:37:36.951,CONFIRMED,True
B1146,UK228,2025-08-30 11:37:36.951,PENDING,True
B1149,SJ218,2026-01-08 11:37:36.951,PENDING,True
B1150,UK083,2025-09-25 11:37:36.951,CONFIRMED,True
B1151,SJ007,2026-01-18 11:37:36.951,CANCELLED,True
B1152,AI077,2025-08-14 11:37:36.951,PENDING,True
