flight_id,airline,source,destination,departure_time,arrival_time,flight_id_raw,duration_raw,flight_id_valid_flag,arrival_time_adjusted,overnight_flag,duration_minutes,duration_anomaly_flag,departure_date,route
SJ010,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,SJ010,,True,2026-04-21 02:32:41.701,True,174.0,False,2026-04-20,CCU → MAA
AI155,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,AI155,,True,2026-04-21 01:23:41.703,True,108.0,False,2026-04-20,BOM → CCU
UK094,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,UK094,,True,2026-04-21 01:11:41.702,True,105.0,False,2026-04-20,BOM → CCU
AI245,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,AI245,,True,2026-04-21 01:43:41.704,True,156.0,False,2026-04-20,BOM → CCU
AI192,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,AI192,,True,2026-04-21 04:04:41.703,True,299.0,False,2026-04-20,MAA → BOM
SJ158,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,SJ158,,True,2026-04-21 01:24:41.703,True,139.0,False,2026-04-20,DEL → HYD
AI080,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,AI080,,True,2026-04-21 00:35:41.702,True,92.0,False,2026-04-20,BOM → HYD
AI137,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,AI137,,True,2026-04-21 01:17:41.702,True,148.0,False,2026-04-20,BOM → DEL
UK167,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,UK167,,True,2026-04-21 01:46:41.703,True,181.0,False,2026-04-20,DEL → MAA
UK027,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,UK027,,True,2026-04-21 01:05:41.701,True,141.0,False,2026-04-20,BOM → CCU
AI069,Unknown,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,AI069,,True,2026-04-21 02:29:41.702,True,226.0,False,2026-04-20,DEL → BOM
AI058,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,AI058,,True,2026-04-21 00:18:41.701,True,98.0,False,2026-04-20,BOM → CCU
AI140,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,AI140,,True,2026-04-21 02:08:41.702,True,223.0,False,2026-04-20,BOM → DEL
